player,team,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,agent,map,tourney_type,game_id,match_id,role_agent,total_round,ot,win_lose
xffero,RRQ,4,1,0,0,0,0,0,0,0,Skye,Lotus,League Play: Week 1,119525,184460,Initiator,19,No,lose
fl1pzjder,RRQ,3,0,0,0,0,0,0,0,0,Breach,Lotus,League Play: Week 1,119525,184460,Initiator,19,No,lose
EJAY,RRQ,2,0,0,0,0,0,0,0,0,Jett,Lotus,League Play: Week 1,119525,184460,Duelist,19,No,lose
Lmemore,RRQ,2,0,0,0,0,0,0,0,0,Killjoy,Lotus,League Play: Week 1,119525,184460,Sentinel,19,No,lose
2ge,RRQ,1,1,0,0,0,0,0,0,0,Omen,Lotus,League Play: Week 1,119525,184460,Controller,19,No,lose
k1Ng,GEN,2,0,1,0,0,1,0,0,0,Killjoy,Lotus,League Play: Week 1,119525,184460,Sentinel,19,No,win
TS,GEN,2,0,0,0,0,0,0,0,0,Omen,Lotus,League Play: Week 1,119525,184460,Controller,19,No,win
Sylvan,GEN,1,1,0,0,0,0,0,0,0,Fade,Lotus,League Play: Week 1,119525,184460,Initiator,19,No,win
GodDead,GEN,1,2,0,0,0,0,0,0,0,Kayo,Lotus,League Play: Week 1,119525,184460,Initiator,19,No,win
Meteor,GEN,4,0,2,0,0,0,0,0,0,Jett,Lotus,League Play: Week 1,119525,184460,Duelist,19,No,win
Dep,ZETA,3,1,0,0,0,0,0,0,0,Jett,Haven,League Play: Week 2,119527,184461,Duelist,23,No,lose
Laz,ZETA,1,0,0,0,0,0,0,0,0,Sova,Haven,League Play: Week 2,119527,184461,Initiator,23,No,lose
crow,ZETA,4,0,0,0,0,0,0,0,0,Breach,Haven,League Play: Week 2,119527,184461,Initiator,23,No,lose
TENNN,ZETA,2,4,0,0,1,0,1,0,0,Killjoy,Haven,League Play: Week 2,119527,184461,Sentinel,23,No,lose
SugarZ3ro,ZETA,1,1,0,0,0,0,0,0,0,Omen,Haven,League Play: Week 2,119527,184461,Controller,23,No,lose
xffero,RRQ,2,2,0,0,1,0,0,0,0,Sova,Haven,League Play: Week 2,119527,184461,Initiator,23,No,win
fl1pzjder,RRQ,3,1,0,0,0,0,0,0,0,Breach,Haven,League Play: Week 2,119527,184461,Initiator,23,No,win
EJAY,RRQ,2,0,1,0,0,0,0,0,0,Jett,Haven,League Play: Week 2,119527,184461,Duelist,23,No,win
